="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance"
="",="b/p",="b/p",="b/p",="b/p",="b/p",="b/p",="b/p",="b/p"
="Willingness",="0.0342",="0.0374",="0.0329",="0.0384",="",="",="",=""
="",="(0.00436)",="(0.00000513)",="(0.00658)",="(0.0000101)",="",="",="",=""
="Predicted Willingness to pay",="",="",="",="",="0.125",="0.0660",="-0.0643",="0.0490"
="",="",="",="",="",="(0.000877)",="(0.0662)",="(0.203)",="(0.000199)"
="Wall quality",="",="",="0.0216",="0.0210",="0.0101",="0.0152",="0.0239",="0.0115"
="",="",="",="(0.104)",="(0.0169)",="(0.351)",="(0.0294)",="(0.0284)",="(0.0139)"
="Roof quality",="",="",="0.0107",="0.000728",="0.00620",="0.000836",="0.0178",="-0.00926"
="",="",="",="(0.187)",="(0.749)",="(0.440)",="(0.851)",="(0.0266)",="(0.142)"
="Erosion threat",="",="",="0.0165",="-0.00496",="-0.00379",="-0.0108",="-0.00116",="-0.00503"
="",="",="",="(0.168)",="(0.285)",="(0.759)",="(0.139)",="(0.909)",="(0.299)"
="House FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="3933",="5521",="3929",="4461",="4908",="4922",="4725",="4731"
="Clusters",="50",="50",="50",="50",="80",="80",="76",="76"
="Mean",=".357",=".062",=".357",=".066",=".448",=".112",=".41",=".059"
