="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance",="Visited Post Carto",="Compliance"
="",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues",="b/p/pvalues"
="Willingness",="0.0342",="0.0374",="0.0329",="0.0384",="",="",="",=""
="",="(0.00436)",="(0.00000513)",="(0.00658)",="(0.0000101)",="",="",="",=""
="",="[0.000]",="[0.000]",="[0.000]",="[0.000]",="",="",="",=""
="Predicted Willingness to pay",="",="",="",="",="0.0381",="0.0324",="0.0152",="0.0260"
="",="",="",="",="",="(0.0634)",="(0.00649)",="(0.342)",="(0.00293)"
="",="",="",="",="",="[0.000]",="[0.000]",="[0.800]",="[0.000]"
="Wall quality",="",="",="0.0219",="0.0213",="0.0119",="0.0155",="0.0249",="0.0121"
="",="",="",="(0.104)",="(0.0169)",="(0.285)",="(0.0277)",="(0.0233)",="(0.0130)"
="",="",="",="",="",="",="",="",=""
="Roof quality",="",="",="0.0107",="0.000726",="0.00615",="0.000974",="0.0179",="-0.00977"
="",="",="",="(0.187)",="(0.749)",="(0.441)",="(0.825)",="(0.0261)",="(0.120)"
="",="",="",="",="",="",="",="",=""
="Erosion threat",="",="",="0.0163",="-0.00492",="-0.00325",="-0.0111",="-0.00210",="-0.00521"
="",="",="",="(0.168)",="(0.285)",="(0.787)",="(0.125)",="(0.834)",="(0.272)"
="",="",="",="",="",="",="",="",=""
="House FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Stratum FE ",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="Observations",="3933",="5521",="3929",="4461",="4980",="4994",="4820",="4826"
="Clusters",="50",="50",="50",="50",="82",="82",="77",="77"
="Mean",=".357",=".062",=".357",=".066",=".449",=".112",=".413",=".061"
